Product Name,Category,Sell Price,Condition,Language,Add Qty,Finish,ASIN,TCG Player Name, TCG Player ID
Machine God's Effigy,Commander: The Brothers' War,1.22,Near Mint,English,1,Normal,,Machine God's Effigy (Retro Frame),452282
Master Transmuter,Commander: The Brothers' War,0.95,Near Mint,English,1,Normal,,Master Transmuter (Retro Frame),452149
Oblivion Stone,Commander: The Brothers' War,0.95,Near Mint,English,1,Normal,,Oblivion Stone (Retro Frame),452342
Sardian Avenger,Commander: The Brothers' War,3.92,Near Mint,English,1,Normal,,Sardian Avenger,453126
Astral Cornucopia - Retro Schematic,The Brothers' War: Retro Frame Artifacts,0.77,Near Mint,English,1,Normal,,Astral Cornucopia (Schematic),452437
Blackblade Reforged - Retro Frame,The Brothers' War: Retro Frame Artifacts,0.58,Near Mint,English,1,Normal,,Blackblade Reforged,452379
Cloud Key - Retro Frame,The Brothers' War: Retro Frame Artifacts,2.44,Near Mint,English,2,Normal,,Cloud Key,452388
Inspiring Statuary - Retro Schematic,The Brothers' War: Retro Frame Artifacts,0.65,Near Mint,English,1,Normal,,Inspiring Statuary (Schematic),451969
Scrap Trawler - Retro Frame,The Brothers' War: Retro Frame Artifacts,0.62,Near Mint,English,1,Normal,,Scrap Trawler,452425
Semblance Anvil - Retro Frame,The Brothers' War: Retro Frame Artifacts,0.82,Near Mint,English,1,Normal,,Semblance Anvil,452428
Semblance Anvil - Retro Schematic,The Brothers' War: Retro Frame Artifacts,1.37,Near Mint,English,1,Normal,,Semblance Anvil (Schematic),452524
Sundering Titan - Retro Frame,The Brothers' War: Retro Frame Artifacts,0.58,Near Mint,English,1,Normal,,Sundering Titan,452432
Unwinding Clock - Retro Frame,The Brothers' War: Retro Frame Artifacts,9.7,Near Mint,English,1,Normal,,Unwinding Clock,451976
Curse Artifact,The Dark,0.96,Near Mint,English,2,Normal,B0062DQM0Q,Curse Artifact,3497
Dust to Dust,The Dark,8.75,Near Mint,English,2,Normal,B0062DQO0Y,Dust to Dust,3504
Fasting,The Dark,0.81,Near Mint,English,1,Normal,B0062DQQRA,Fasting,3511
Runesword,The Dark,1.5,Near Mint,English,1,Normal,B0062DRGEM,Runesword,3563
Wand of Ith,The Dark,1.33,Near Mint,English,2,Normal,B0062DRUH0,Wand of Ith,3588
War Barge,The Dark,1.12,Near Mint,English,1,Normal,B0062DRURK,War Barge,3589
Admiral Beckett Brass - The List,The List,0.53,Near Mint,English,1,Normal,,Admiral Beckett Brass,269127
Borborygmos Enraged - The List,The List,0.54,Near Mint,English,2,Normal,,Borborygmos Enraged,492620
Entreat the Dead - The List,The List,2.86,Near Mint,English,1,Normal,,Entreat the Dead,240831
Game Plan - The List,The List,1.22,Near Mint,English,2,Normal,,Game Plan,480150
Gruul Signet,Mystery Booster,0.58,Near Mint,English,1,Normal,B085RDS6GC ,Gruul Signet,202962
Guttural Response - The List,The List,0.83,Near Mint,English,3,Normal,,Guttural Response,240842
Queen Marchesa,Mystery Booster,0.54,Near Mint,English,1,Normal,B085RBJVW5 ,Queen Marchesa,204510
Rancor,Mystery Booster,1.05,Near Mint,English,1,Normal,B085RG9X71 ,Rancor,203479
Reaper of Sheoldred - The List,The List,0.51,Near Mint,English,1,Normal,,Reaper of Sheoldred,480179
Borne Upon a Wind,The Lord of the Rings: Tales of Middle-earth,1.07,Near Mint,English,1,Normal,,Borne Upon a Wind,498680
Doors of Durin,The Lord of the Rings: Tales of Middle-earth,0.52,Near Mint,English,1,Normal,,Doors of Durin,498487
Entish Restoration,The Lord of the Rings: Tales of Middle-earth,1.11,Near Mint,English,1,Normal,,Entish Restoration,499221
